Date,Open,High,Low,Close,Adj Close,Volume,SMA100,STD100,SMA100_upper,SMA100_lower,Signal,Position
2015-01-02,27.84749984741211,27.86000061035156,26.837499618530277,27.332500457763672,24.40216827392578,212818400,,,,,0,
2015-01-05,27.07250022888184,27.162500381469727,26.352500915527344,26.5625,23.71472930908203,257142000,,,,,0,0.0
2015-01-06,26.63500022888184,26.857500076293945,26.15749931335449,26.565000534057617,23.716960906982425,263188400,,,,,0,0.0
2015-01-07,26.799999237060547,27.049999237060547,26.674999237060547,26.9375,24.04952049255371,160423600,,,,,0,0.0
2015-01-08,27.3075008392334,28.037500381469727,27.174999237060547,27.97249984741211,24.97355842590332,237458000,,,,,0,0.0
2015-01-09,28.167499542236328,28.3125,27.552499771118164,28.002500534057617,25.000343322753903,214798000,,,,,0,0.0
2015-01-12,28.149999618530277,28.15749931335449,27.200000762939453,27.3125,24.384313583374023,198603200,,,,,0,0.0
2015-01-13,27.857500076293945,28.200000762939453,27.227500915527344,27.55500030517578,24.60081672668457,268367600,,,,,0,0.0
2015-01-14,27.26000022888184,27.622499465942383,27.125,27.450000762939453,24.5070743560791,195826400,,,,,0,0.0
2015-01-15,27.5,27.51499938964844,26.665000915527344,26.70499992370605,23.841941833496094,240056000,,,,,0,0.0
2015-01-16,26.75749969482422,26.895000457763672,26.299999237060547,26.497499465942383,23.65669631958008,314053200,,,,,0,0.0
2015-01-20,26.959999084472656,27.24250030517578,26.625,27.18000030517578,24.26601791381836,199599600,,,,,0,0.0
2015-01-21,27.237499237060547,27.76499938964844,27.0674991607666,27.387500762939453,24.451276779174805,194303600,,,,,0,0.0
2015-01-22,27.565000534057617,28.11750030517578,27.43000030517578,28.100000381469727,25.087387084960938,215185600,,,,,0,0.0
2015-01-23,28.075000762939453,28.4375,27.88249969482422,28.2450008392334,25.21684455871582,185859200,,,,,0,0.0
2015-01-26,28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530277,25.243627548217773,222460000,,,,,0,0.0
2015-01-27,28.104999542236328,28.1200008392334,27.25749969482422,27.28499984741211,24.35976219177246,382274800,,,,,0,0.0
2015-01-28,29.40749931335449,29.530000686645508,28.82749938964844,28.82749938964844,25.736888885498047,585908400,,,,,0,0.0
2015-01-29,29.07999992370605,29.79750061035156,28.88999938964844,29.725000381469727,26.538175582885746,337745600,,,,,0,0.0
2015-01-30,29.600000381469727,30.0,29.212499618530277,29.290000915527344,26.149803161621094,334982000,,,,,0,0.0
2015-02-02,29.512500762939453,29.792499542236328,29.020000457763672,29.65749931335449,26.477901458740234,250956400,,,,,0,0.0
2015-02-03,29.625,29.772499084472656,29.40250015258789,29.662500381469727,26.482370376586918,207662800,,,,,0,0.0
2015-02-04,29.625,30.127500534057617,29.57749938964844,29.88999938964844,26.685476303100582,280598800,,,,,0,0.0
2015-02-05,30.0049991607666,30.0575008392334,29.8125,29.98500061035156,26.87594985961914,168984800,,,,,0,0.0
2015-02-06,30.0049991607666,30.0625,29.612499237060547,29.732500076293945,26.649629592895508,174826400,,,,,0,0.0
2015-02-09,29.637500762939453,29.959999084472656,29.607500076293945,29.93000030517578,26.82664680480957,155559200,,,,,0,0.0
2015-02-10,30.042499542236328,30.537500381469727,30.040000915527344,30.5049991607666,27.34203147888184,248034000,,,,,0,0.0
2015-02-11,30.6924991607666,31.229999542236328,30.625,31.21999931335449,27.982891082763672,294247200,,,,,0,0.0
2015-02-12,31.51499938964844,31.8700008392334,31.39249992370605,31.614999771118164,28.336938858032227,297898000,,,,,0,0.0
